DeptTag,CourseNum,CourseName,Term,reqsFilled,period
SOAN,396.01,Advanced Sociological and Anthropological Writing,Fall 2019,"SOC, WRC",5/6c
SOAN,400.03,Integrative Exercise,Fall 2019,,5/6c
SOAN,400.04,Integrative Exercise,Fall 2019,,5/6c
SOAN,400.05,Integrative Exercise,Fall 2019,,5/6c
SOAN,400.06,Integrative Exercise,Fall 2019,,5/6c
SOAN,110.0,Introduction to Anthropology,Winter 2020,"SOC, INS",2/3c
SOAN,111.0,Introduction to Sociology,Winter 2020,SOC,1a
SOAN,170.0,Investigating (In)Equality: Comparative Welfare States,Winter 2020,"SOC, IDS",4a
SOAN,222.0,Anthropology of Humor,Winter 2020,SOC,2/3c
SOAN,262.0,Anthropology of Health and Illness,Winter 2020,"SOC, WRC, INS",2/3c
SOAN,331.0,Anthropological Thought and Theory,Winter 2020,"SOC, INS, WRC",2/3c
SOAN,400.01,Integrative Exercise,Winter 2020,,2/3c
SOAN,400.02,Integrative Exercise,Winter 2020,,2/3c
SOAN,400.03,Integrative Exercise,Winter 2020,,2/3c
SOAN,400.04,Integrative Exercise,Winter 2020,,2/3c
SOAN,400.05,Integrative Exercise,Winter 2020,,2/3c
SOAN,400.06,Integrative Exercise,Winter 2020,,2/3c
SOAN,110.0,Introduction to Anthropology,Spring 2020,"SOC, INS, WRC",2/3c
SOAN,111.0,Introduction to Sociology,Spring 2020,SOC,2a
SOAN,240.0,Methods of Social Research,Spring 2020,"SOC, QRE, WRC",3a
SOAN,256.0,Africa: Representation and Conflict,Spring 2020,"SOC, INS, WRC",2/3c
SOAN,343.0,Advanced Ethnographic Workshop,Spring 2020,,2/3c
SOAN,395.0,Ethnography of Reproduction,Spring 2020,"SOC, WRC, INS",2/3c
SOAN,400.01,Integrative Exercise,Spring 2020,,2/3c
SOAN,400.04,Integrative Exercise,Spring 2020,,2/3c
SOAN,400.05,Integrative Exercise,Spring 2020,,2/3c
SOAN,400.06,Integrative Exercise,Spring 2020,,2/3c
SPAN,101.01,Elementary Spanish,Fall 2019,,1a
SPAN,101.02,Elementary Spanish,Fall 2019,,2a
SPAN,101.03,Elementary Spanish,Fall 2019,,3a
SPAN,101.04,Elementary Spanish,Fall 2019,,4a
SPAN,101.05,Elementary Spanish,Fall 2019,,5a
SPAN,204.01,Intermediate Spanish,Fall 2019,,1a
SPAN,204.02,Intermediate Spanish,Fall 2019,,2a
SPAN,204.03,Intermediate Spanish,Fall 2019,,2a
SPAN,204.04,Intermediate Spanish,Fall 2019,,3a
SPAN,204.05,Intermediate Spanish,Fall 2019,,4a
SPAN,204.06,Intermediate Spanish,Fall 2019,,4a
SPAN,204.08,Intermediate Spanish,Fall 2019,,5a
SPAN,204.09,Intermediate Spanish,Fall 2019,,5a
SPAN,204.1,Intermediate Spanish,Fall 2019,,3a
SPAN,205.01,Conversation and Composition,Fall 2019,"LAA, INS",1/2c
SPAN,208.0,Coffee and News,Fall 2019,"LAA, INS",1/2c
SPAN,212.07,Navigating Madrid,Fall 2019,,1/2c
SPAN,229.07,Madrid Program: Current Issues in Spanish Politics,Fall 2019,,1/2c
SPAN,277.0,The Poem as Artifact: Art and Work in Contemporary Spanish American Poetry,Fall 2019,LAA,2a
SPAN,349.07,Madrid Program: Theory and Practice of Urban Life,Fall 2019,,1/2c
SPAN,356.0,The Political and Cultural History of the Cuban Revolution,Fall 2019,"LAA, INS",1/2c
SPAN,400.0,Integrative Exercise,Fall 2019,,1/2c
SPAN,102.01,Elementary Spanish,Winter 2020,,1a
SPAN,102.02,Elementary Spanish,Winter 2020,,1a
SPAN,102.03,Elementary Spanish,Winter 2020,,2a
SPAN,102.04,Elementary Spanish,Winter 2020,,3a
SPAN,102.05,Elementary Spanish,Winter 2020,,4a
SPAN,102.06,Elementary Spanish,Winter 2020,,4a
SPAN,102.08,Elementary Spanish,Winter 2020,,5a
SPAN,102.09,Elementary Spanish,Winter 2020,,5a
SPAN,204.0,Intermediate Spanish,Winter 2020,,2a
SPAN,205.01,Conversation and Composition,Winter 2020,"LAA, INS",1/2c
SPAN,208.0,Coffee and News,Winter 2020,"LAA, INS",1/2c
SPAN,242.0,Introduction to Latin American Literature,Winter 2020,"LAA, INS",5a
SPAN,328.0,The Contemporary Spanish Fictional Essay,Winter 2020,"LAA, INS",1/2c
SPAN,330.0,The Invention of the Modern Novel: Cervantes',Winter 2020,"LAA, INS",1/2c
SPAN,400.0,Integrative Exercise,Winter 2020,,1/2c
SPAN,103.01,Intermediate Spanish,Spring 2020,,1a
SPAN,103.02,Intermediate Spanish,Spring 2020,,1a
SPAN,103.03,Intermediate Spanish,Spring 2020,,3a
SPAN,103.04,Intermediate Spanish,Spring 2020,,2a
SPAN,103.05,Intermediate Spanish,Spring 2020,,4a
SPAN,103.06,Intermediate Spanish,Spring 2020,,4a
SPAN,103.08,Intermediate Spanish,Spring 2020,,5a
SPAN,103.09,Intermediate Spanish,Spring 2020,,5a
SPAN,205.01,Conversation and Composition,Spring 2020,"LAA, INS",3a
SPAN,208.0,Coffee and News,Spring 2020,"LAA, INS",1/2c
SPAN,225.0,Exile in Literature and History,Spring 2020,"WRC, INS",2a
SPAN,244.0,Spain Today: Recent Changes through Narrative and Film,Spring 2020,"LAA, INS",3a
SPAN,360.0,Race and Nation in Caribbean Literature,Spring 2020,"LAA, INS",4a
SPAN,376.0,Mexico City: The City as Protagonist,Spring 2020,"LAA, INS",5a
SPAN,400.0,Integrative Exercise,Spring 2020,,1/2c
ARTS,110.01,Observational Drawing,Fall 2019,ARP,1a
ARTS,110.02,Observational Drawing,Fall 2019,ARP,4a
ARTS,110.03,Observational Drawing,Fall 2019,ARP,Unable to determine class period
ARTS,124.0,Praxis and Poetics in 3D Art and Design,Fall 2019,ARP,Unable to determine class period
ARTS,130.0,Beginning Ceramics,Fall 2019,ARP,1a
ARTS,151.0,Metalsmithing,Fall 2019,ARP,Unable to determine class period
ARTS,232.0,Ceramics: Handbuilding,Fall 2019,ARP,4a
ARTS,240.0,Introduction to Film and Digital Photography,Fall 2019,ARP,Unable to determine class period
ARTS,260.0,Painting,Fall 2019,ARP,4a
ARTS,274.0,Printmaking,Fall 2019,ARP,Unable to determine class period
ARTS,400.0,Integrative Exercise,Fall 2019,,Unable to determine class period
ARTS,110.01,Observational Drawing,Winter 2020,ARP,4a
ARTS,110.02,Observational Drawing,Winter 2020,ARP,4/5c
ARTS,114.07,European Architectural Studies Program: Introduction to Drawing Architecture,Winter 2020,,4/5c
ARTS,122.0,Introduction to Sculpture,Winter 2020,ARP,4/5c
ARTS,180.0,Bookbinding,Winter 2020,ARP,4/5c
ARTS,210.0,Life Drawing,Winter 2020,ARP,4/5c
ARTS,238.0,Photography I,Winter 2020,ARP,4a
ARTS,260.0,Painting,Winter 2020,ARP,4/5c
ARTS,330.0,Advanced Ceramics,Winter 2020,ARP,4a
ARTS,339.0,Advanced Photo: Digital Imaging,Winter 2020,ARP,4/5c
ARTS,400.0,Integrative Exercise,Winter 2020,,4/5c
ARTS,113.0,Field Drawing,Spring 2020,ARP,4/5c
ARTS,122.0,Introduction to Sculpture,Spring 2020,ARP,4/5c
ARTS,130.0,Beginning Ceramics,Spring 2020,ARP,4a
ARTS,140.0,The Digital Landscape,Spring 2020,ARP,4/5c
ARTS,141.0,Experimental Photography,Spring 2020,ARP,4a
ARTS,211.0,Topics in Art and the Environment: Drawing the Anthropocene,Spring 2020,ARP,4a
ARTS,230.0,Ceramics: Throwing,Spring 2020,ARP,1a
ARTS,252.0,Metalsmithing: Casting and Color,Spring 2020,ARP,4/5c
ARTS,298.0,Junior Studio Art Practicum,Spring 2020,,4/5c
ARTS,322.0,Sculpture 2: Form and Context,Spring 2020,ARP,4/5c
ARTS,360.0,Advanced Painting and Drawing,Spring 2020,ARP,4/5c
ARTS,374.0,Advanced Printmaking and Book Arts,Spring 2020,ARP,4/5c
ARTS,398.0,Senior Studio Art Practicum,Spring 2020,,4/5c
ARTS,400.0,Integrative Exercise,Spring 2020,,4/5c
THEA,110.0,Beginning Acting,Fall 2019,"HUM, ARP, INS",5a
THEA,190.0,Carleton Players Production,Fall 2019,ARP,4a
THEA,195.0,Acting Shakespeare,Fall 2019,"ARP, LAA",2/3c
THEA,199.0,Theater Practicum,Fall 2019,"LAA, WRC",2/3c
THEA,237.0,Scenic Design for the Performing Arts,Fall 2019,ARP,2/3c
THEA,400.0,Integrative Exercise,Fall 2019,,2/3c
THEA,185.0,The Speaking Voice,Winter 2020,ARP,4a
THEA,190.0,Carleton Players Production,Winter 2020,ARP,3a
THEA,199.0,Theater Practicum,Winter 2020,ARP,5/6c
THEA,238.0,Costume Design for Theater,Winter 2020,ARP,6a
THEA,251.0,Top Girls: Women Playwrights,Winter 2020,LAA,5/6c
THEA,345.0,Devised Theater and Collective Creation,Winter 2020,ARP,5/6c
THEA,400.0,Integrative Exercise,Winter 2020,,5/6c
THEA,110.0,Beginning Acting,Spring 2020,"ARP, LAA, WRC, INS",2/3c
THEA,185.0,The Speaking Voice,Spring 2020,ARP,2/3c
THEA,190.0,Carleton Players Production,Spring 2020,,2/3c
THEA,199.0,Theater Practicum,Spring 2020,,2/3c
THEA,226.0,Avant-garde Theater and Performance,Spring 2020,LAA,3a
THEA,239.0,Topics in Theater: Costume Design,Spring 2020,ARP,6a
THEA,246.0,Playwriting,Spring 2020,ARP,2/3c
THEA,256.01,Costume Construction,Spring 2020,ARP,2/3c
THEA,256.02,Costume Construction,Spring 2020,ARP,2/3c
THEA,320.0,Live Performance and Digital Media,Spring 2020,ARP,2/3c
THEA,400.0,Integrative Exercise,Spring 2020,,2/3c
WGST,112.0,Introduction to LGBT/Queer Studies,Fall 2019,"HUM, LAA, IDS",5a
WGST,140.0,Politics of Women's Health,Fall 2019,"SOC, LAA, WRC",5/6c
WGST,200.0,"Gender, Power and the Pursuit of Knowledge",Fall 2019,"SOC, LAA, WRC, INS, QRE",5/6c
WGST,243.07,Women's and Gender Studies in Europe Program: Situated Feminisms: Socio-Political Systems and Gender Issues Across Europe,Fall 2019,"LAA, INS",3a
WGST,244.07,Women's & Gender Studies in Europe Program: Cross-Cultural Feminist Methodologies,Fall 2019,"HUM, IDS",5/6c
WGST,325.07,"Women's & Gender Studies in Europe Program: Continental Feminist, Queer, Trans* Theories",Fall 2019,IDS,5/6c
WGST,391.17,Independent Field Research in Europe,Fall 2019,"SOC, WRC, INS",4a
WGST,110.0,Introduction to Women's and Gender Studies,Winter 2020,"SOC, HUM, QRE",3a
WGST,389.0,"Race, Gender, and Sexuality in Popular Culture",Winter 2020,"HUM, LAA, WRC, IDS",3a
WGST,400.0,Integrative Exercise,Winter 2020,"HUM, IDS",4/5c
WGST,110.0,Introduction to Women's and Gender Studies,Spring 2020,"HUM, WRC, IDS",2a
WGST,234.0,Feminist and Queer Theory,Spring 2020,"HUM, LAA, IDS, WRC",4/5c
WGST,240.0,"Gender, Globalization and War",Spring 2020,"SOC, HUM, WRC, INS",4a
WGST,400.0,Integrative Exercise,Spring 2020,"LAA, WRC, IDS",4/5c
